AAR,BYDEL,ALDER,STATKODE,PERSONER
2015,1,23,5776,1
2015,1,23,5778,1
2015,1,24,5100,1078
2015,1,24,5104,3
2015,1,24,5106,6
2015,1,24,5110,59
2015,1,24,5120,31
2015,1,24,5126,1
2015,1,24,5128,2
2015,1,24,5130,12
2015,1,24,5134,1
2015,1,24,5140,5
2015,1,24,5142,3
2015,1,24,5150,25
2015,1,24,5154,4
2015,1,24,5156,1
2015,1,24,5158,2
2015,1,24,5160,1
2015,1,24,5164,9
2015,1,24,5170,13
2015,1,24,5172,2
2015,1,24,5174,4
2015,1,24,5180,24
2015,1,24,5259,1
2015,1,24,5269,1
2015,1,24,5302,2
2015,1,24,5314,5
2015,1,24,5354,1
2015,1,24,5390,13
2015,1,24,5432,2
2015,1,24,5436,1
2015,1,24,5448,4
2015,1,24,5456,2
2015,1,24,5474,5
2015,1,24,5482,1
2015,1,24,5484,1
2015,1,24,5502,2
2015,1,24,5607,3
2015,1,24,5609,1
2015,1,24,5611,4
2015,1,24,5700,2
2015,1,24,5704,3
2015,1,24,5706,1
2015,1,24,5716,1
2015,1,24,5724,1
2015,1,24,5752,1
2015,1,24,5776,1
2015,1,24,5778,4
2015,1,25,5100,1107
2015,1,25,5103,1
2015,1,25,5104,6
2015,1,25,5106,3
2015,1,25,5110,57
2015,1,25,5120,39
2015,1,25,5128,3
2015,1,25,5130,15
2015,1,25,5134,1
2015,1,25,5140,5
2015,1,25,5142,1
2015,1,25,5150,20
2015,1,25,5153,1
2015,1,25,5154,12
2015,1,25,5158,3
2015,1,25,5164,9
2015,1,25,5170,13
2015,1,25,5174,4
2015,1,25,5180,29
2015,1,25,5182,2
2015,1,25,5246,1
2015,1,25,5306,3
2015,1,25,5314,5
2015,1,25,5316,1
2015,1,25,5354,1
2015,1,25,5390,12
2015,1,25,5392,1
2015,1,25,5410,1
2015,1,25,5424,1
2015,1,25,5432,5
2015,1,25,5434,1
2015,1,25,5444,1
2015,1,25,5448,9
2015,1,25,5474,8
2015,1,25,5482,2
2015,1,25,5502,4
2015,1,25,5514,1
2015,1,25,5607,2
2015,1,25,5609,1
2015,1,25,5611,7
2015,1,25,5700,3
2015,1,25,5704,2
2015,1,25,5708,1
2015,1,25,5712,1
2015,1,25,5716,1
2015,1,25,5750,1
2015,1,25,5757,1
2015,1,25,5778,3
2015,1,26,5100,1093
2015,1,26,5104,7
2015,1,26,5106,7
2015,1,26,5110,38
2015,1,26,5120,31
2015,1,26,5130,18
2015,1,26,5134,4
2015,1,26,5140,2
2015,1,26,5142,3
2015,1,26,5150,11
2015,1,26,5152,1
2015,1,26,5154,13
2015,1,26,5156,4
2015,1,26,5158,6
2015,1,26,5160,2
2015,1,26,5164,14
2015,1,26,5170,13
2015,1,26,5172,3
2015,1,26,5174,3
2015,1,26,5180,27
2015,1,26,5182,3
2015,1,26,5268,1
2015,1,26,5269,1
2015,1,26,5302,1
2015,1,26,5306,4
2015,1,26,5314,4
2015,1,26,5318,1
2015,1,26,5326,1
2015,1,26,5328,1
2015,1,26,5338,1
2015,1,26,5358,1
2015,1,26,5390,8
2015,1,26,5392,1
2015,1,26,5432,4
2015,1,26,5434,1
2015,1,26,5438,2
2015,1,26,5448,10
2015,1,26,5458,1
2015,1,26,5474,12
2015,1,26,5482,1
2015,1,26,5492,1
2015,1,26,5502,3
2015,1,26,5514,4
2015,1,26,5607,6
2015,1,26,5611,6
2015,1,26,5700,2
2015,1,26,5754,1
2015,1,26,5757,1
2015,1,26,5776,4
2015,1,26,5778,1
2015,1,27,5100,1016
2015,1,27,5103,1
2015,1,27,5104,5
2015,1,27,5106,6
2015,1,27,5110,22
2015,1,27,5120,33
2015,1,27,5126,2
2015,1,27,5128,1
2015,1,27,5130,15
2015,1,27,5134,4
2015,1,27,5140,3
2015,1,27,5142,2
2015,1,27,5150,11
2015,1,27,5154,7
2015,1,27,5156,1
2015,1,27,5158,8
2015,1,27,5160,1
2015,1,27,5164,11
2015,1,27,5170,12
2015,1,27,5172,2
2015,1,27,5174,2
2015,1,27,5180,19
2015,1,27,5182,4
2015,1,27,5202,1
2015,1,27,5244,2
2015,1,27,5262,1
2015,1,27,5272,1
2015,1,27,5306,3
2015,1,27,5314,3
2015,1,27,5318,1
2015,1,27,5354,2
2015,1,27,5358,1
2015,1,27,5390,9
2015,1,27,5432,3
2015,1,27,5436,1
2015,1,27,5438,1
2015,1,27,5444,2
2015,1,27,5446,1
